snapshot_id,collected_at_pt,sport,league,event_id,event_start_utc,venue,venue_city,venue_state,venue_indoor,latitude,longitude,weather_time_utc,source,observation_type,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation_probability,precipitation,rain,snowfall,weather_code,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m
OPEN_METEO-FORECAST-401856693-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401856693,2026-09-20T00:00:00+00:00,DKR-Texas Memorial Stadium,Austin,TX,False,30.26715,-97.74306,2026-09-20T00:00Z,OPEN_METEO_FORECAST,FORECAST,97.5,94.7,25,0,0.0,0.0,0.0,0,992.8,10.9,122,11.9
OPEN_METEO-FORECAST-401856799-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401856799,2026-09-20T00:00:00+00:00,Amon G. Carter Stadium,Fort Worth,TX,False,32.72541,-97.32085,2026-09-20T00:00Z,OPEN_METEO_FORECAST,FORECAST,96.9,92.9,20,0,0.0,0.0,0.0,0,987.6,9.0,166,11.2
OPEN_METEO-FORECAST-401862775-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401862775,2026-09-20T00:00:00+00:00,H. A. Chapman Stadium,Tulsa,OK,False,36.15398,-95.99277,2026-09-20T00:00Z,OPEN_METEO_FORECAST,FORECAST,96.3,92.8,23,0,0.0,0.0,0.0,0,982.7,9.9,177,21.5
OPEN_METEO-FORECAST-401862776-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401862776,2026-09-20T00:00:00+00:00,Our Lady of Lourdes Stadium,Lafayette,LA,False,30.22409,-92.01984,2026-09-20T00:00Z,OPEN_METEO_FORECAST,FORECAST,83.0,87.3,65,4,0.0,0.0,0.0,0,1011.6,8.6,190,15.0
OPEN_METEO-FORECAST-401860885-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401860885,2026-09-20T02:00:00+00:00,Albertsons Stadium,Boise,ID,False,43.6135,-116.20345,2026-09-20T02:00Z,OPEN_METEO_FORECAST,FORECAST,71.7,68.0,38,0,0.0,0.0,0.0,0,920.0,5.7,9,17.0
OPEN_METEO-FORECAST-401860887-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401860887,2026-09-20T02:00:00+00:00,Snapdragon Stadium,San Diego,CA,False,32.71571,-117.16472,2026-09-20T02:00Z,OPEN_METEO_FORECAST,FORECAST,72.6,74.2,66,0,0.0,0.0,0.0,0,1010.4,4.9,275,3.8
OPEN_METEO-FORECAST-401856793-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401856793,2026-09-20T02:30:00+00:00,Casino Del Sol Stadium,Tucson,AZ,False,32.22174,-110.92648,2026-09-20T02:00Z,OPEN_METEO_FORECAST,FORECAST,92.8,83.4,13,0,0.0,0.0,0.0,0,925.9,14.1,245,13.9
OPEN_METEO-FORECAST-401864507-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401864507,2026-09-20T02:30:00+00:00,Hornet Stadium,Sacramento,CA,False,38.58157,-121.4944,2026-09-20T02:00Z,OPEN_METEO_FORECAST,FORECAST,82.5,78.3,32,0,0.0,0.0,0.0,0,1007.2,9.7,203,16.1
OPEN_METEO-FORECAST-401860886-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401860886,2026-09-20T03:00:00+00:00,Reser Stadium,Corvallis,OR,False,33.90224,-118.08173,2026-09-20T03:00Z,OPEN_METEO_FORECAST,FORECAST,76.3,76.7,55,0,0.0,0.0,0.0,2,1008.5,6.1,246,5.8
OPEN_METEO-FORECAST-401860888-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401860888,2026-09-20T03:00:00+00:00,CEFCU Stadium,San Jose,CA,False,37.33939,-121.89496,2026-09-20T03:00Z,OPEN_METEO_FORECAST,FORECAST,72.2,70.4,49,0,0.0,0.0,0.0,0,1009.2,5.6,337,3.8
OPEN_METEO-FORECAST-401817017-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817017,2026-09-20T17:10:00+00:00,Citi Field,Queens,New York,False,40.68149,-73.83652,2026-09-20T17:00Z,OPEN_METEO_FORECAST,FORECAST,65.9,65.2,90,60,0.118,0.118,0.0,63,1015.0,12.6,153,23.7
OPEN_METEO-FORECAST-401817015-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817015,2026-09-20T17:35:00+00:00,PNC Park,Pittsburgh,Pennsylvania,False,40.44062,-79.99589,2026-09-20T18:00Z,OPEN_METEO_FORECAST,FORECAST,70.3,75.5,95,76,0.024,0.02,0.0,53,986.0,5.0,243,17.2
OPEN_METEO-FORECAST-401817014-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817014,2026-09-20T17:40:00+00:00,Great American Ball Park,Cincinnati,Ohio,False,39.12711,-84.51439,2026-09-20T18:00Z,OPEN_METEO_FORECAST,FORECAST,73.9,78.8,87,15,0.0,0.0,0.0,3,982.0,6.9,159,17.2
OPEN_METEO-FORECAST-401817019-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817019,2026-09-20T18:10:00+00:00,Rate Field,Chicago,Illinois,False,41.85003,-87.65005,2026-09-20T18:00Z,OPEN_METEO_FORECAST,FORECAST,65.6,67.0,96,60,0.008,0.008,0.0,51,992.2,9.1,22,18.6
OPEN_METEO-FORECAST-401817021-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817021,2026-09-20T18:15:00+00:00,Busch Stadium,St. Louis,Missouri,False,38.62727,-90.19789,2026-09-20T18:00Z,OPEN_METEO_FORECAST,FORECAST,91.6,90.7,31,11,0.0,0.0,0.0,3,994.5,7.2,240,9.4
OPEN_METEO-FORECAST-401817024-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817024,2026-09-20T20:07:00+00:00,Angel Stadium,Anaheim,California,False,33.83529,-117.9145,2026-09-20T20:00Z,OPEN_METEO_FORECAST,FORECAST,80.1,82.4,49,0,0.0,0.0,0.0,0,1007.5,9.2,219,7.8
OPEN_METEO-FORECAST-401817023-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817023,2026-09-20T20:10:00+00:00,Petco Park,San Diego,California,False,32.71571,-117.16472,2026-09-20T20:00Z,OPEN_METEO_FORECAST,FORECAST,75.3,77.9,62,0,0.0,0.0,0.0,3,1011.2,10.1,265,6.0
OPEN_METEO-FORECAST-401817026-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817026,2026-09-20T20:10:00+00:00,Dodger Stadium,Los Angeles,California,False,34.05223,-118.24368,2026-09-20T20:00Z,OPEN_METEO_FORECAST,FORECAST,82.3,83.8,39,0,0.0,0.0,0.0,0,1002.1,7.5,192,5.6
OPEN_METEO-FORECAST-401817016-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817016,2026-09-20T23:20:00+00:00,Oriole Park at Camden Yards,Baltimore,Maryland,False,39.29038,-76.61219,2026-09-20T23:00Z,OPEN_METEO_FORECAST,FORECAST,79.0,84.3,69,53,0.012,0.0,0.0,51,1007.9,3.9,204,18.3
OPEN_METEO-FORECAST-401817008-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817008,2026-09-20T00:40:00+00:00,Petco Park,San Diego,California,False,32.71571,-117.16472,2026-09-20T01:00Z,OPEN_METEO_FORECAST,FORECAST,73.5,74.1,62,0,0.0,0.0,0.0,0,1009.9,6.5,272,4.3
OPEN_METEO-FORECAST-401817011-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817011,2026-09-20T01:10:00+00:00,Dodger Stadium,Los Angeles,California,False,34.05223,-118.24368,2026-09-20T01:00Z,OPEN_METEO_FORECAST,FORECAST,77.2,75.8,53,0,0.0,0.0,0.0,2,1000.4,10.2,241,8.7
OPEN_METEO-FORECAST-401817009-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817009,2026-09-20T01:38:00+00:00,Angel Stadium,Anaheim,California,False,33.83529,-117.9145,2026-09-20T02:00Z,OPEN_METEO_FORECAST,FORECAST,76.0,75.7,54,0,0.0,0.0,0.0,1,1005.9,7.0,220,6.7
